Date,Co2,Ordinal_date,Detrended_co2
1958-03-29,316.19,1,1.6140989192706456
1958-04-05,317.31,8,2.719392122440979
1958-04-12,317.69,15,3.0846757824633073
1958-04-19,317.58,22,2.95994989933763
1958-04-26,316.48,29,1.8452144730640043
1958-05-03,316.95,36,2.3004695036423186
1958-05-17,317.56,50,2.880950935355088
1958-05-24,317.99,57,3.2961773364894498
1958-07-05,315.85,99,1.0673353371879557
1958-07-12,315.85,106,1.0524949362863936
1958-07-19,315.46,113,0.647644992236792
1958-07-26,315.59,120,0.7627855050392327
1958-08-02,315.64,127,0.7979164746937499
1958-08-09,315.1,134,0.24303790120023905
1958-08-16,315.09,141,0.2181497845587046
1958-08-30,314.14,155,-0.7616550781682463
1958-09-06,313.54,162,-1.3765718242536877
1958-11-08,313.05,225,-2.001251980682639
1958-11-15,313.26,232,-1.806264158248041
1958-11-22,313.57,239,-1.5112858789614165
1958-11-29,314.01,246,-1.086317142822793
1958-12-06,314.56,253,-0.5513579498321519
1958-12-13,314.41,260,-0.716408299989439
1958-12-20,314.77,267,-0.37146819329484515
1958-12-27,315.21,274,0.05346237025185019
1959-01-03,315.24,281,0.06838339065052423
1959-01-10,315.5,288,0.3132948679012202
1959-01-17,315.69,295,0.4881968020039267
1959-01-24,315.86,302,0.6430891929586551
1959-01-31,315.42,309,0.18797204076537355
1959-02-14,316.94,323,1.6777091069348558
1959-02-21,316.61,330,1.332563325297599
1959-02-28,316.62,337,1.3274080005123778
1959-03-07,316.81,344,1.5022431325791104
1959-03-21,316.73,358,1.3918847672687207
1959-03-28,316.71,365,1.3566912698914848
1959-04-04,317.72,372,2.351488229366339
1959-04-11,317.12,379,1.7362756456931265
1959-04-18,317.64,386,2.2410535188719223
1959-04-25,318.32,393,2.9058218489027468
1959-05-02,318.27,400,2.8405806357856136
1959-05-09,318.78,407,3.3353298795204296
1959-05-16,318.05,414,2.590069580107354
1959-05-23,318.43,421,2.9547997375462387
1959-06-06,318.53,435,3.0242314229799376
1959-06-13,318.14,442,2.6189329509749086
1959-06-20,317.88,449,2.343624935821822
1959-06-27,317.76,456,2.2083073775206685
1959-07-04,316.86,463,1.292980276071603
1959-07-11,316.83,470,1.2476436314745456
1959-07-18,316.45,477,0.8522974437294693
1959-07-25,316.16,484,0.5469417128364853
1959-08-01,315.62,491,-0.008423561204551788
1959-08-08,314.91,498,-0.7337983783935442
1959-08-22,315.0,512,-0.6745766422155839
1959-08-29,314.15,519,-1.5399800888486084
1959-09-05,314.45,526,-1.255393078629595
1959-09-12,313.93,533,-1.7908156115585712
1959-09-19,313.57,540,-2.1662476876355186
1959-09-26,313.54,547,-2.211689306860478
1959-10-03,313.04,554,-2.7271404692334045
1959-10-10,313.15,561,-2.6326011747543703
1959-10-17,313.43,568,-2.3680714234232596
1959-10-24,313.46,575,-2.353551215240202
1959-10-31,314.12,582,-1.7090405502050885
1959-11-07,314.42,589,-1.4245394283179849
1959-11-14,314.88,596,-0.9800478495789093
1959-11-21,315.2,603,-0.6755658139877596
1959-11-28,315.11,610,-0.7810933215446312
1959-12-05,315.06,617,-0.8466303722494786
1959-12-12,315.64,624,-0.28217696610238363
1959-12-19,315.86,631,-0.07773310310318493
1959-12-26,315.77,638,-0.18329878325204163
1960-01-02,315.72,645,-0.2488740065488173
1960-01-09,316.4,652,0.41554122700631524
1960-01-16,316.73,659,0.7299469174135425
1960-01-23,316.57,666,0.5543430646727643
1960-01-30,316.68,673,0.6487296687839716
1960-02-06,316.61,680,0.5631067297472327
1960-02-13,316.98,687,0.9174742475624384
1960-02-20,317.42,694,1.341832222229698
1960-02-27,317.0,701,0.9061806537489474
1960-03-05,316.96,708,0.8505195421201961
1960-03-12,317.76,715,1.6348488873434803
1960-03-19,318.07,722,1.9291686894187592
1960-03-26,317.77,729,1.6134789483459713
1960-04-02,318.61,736,2.437779664125287
1960-04-09,319.34,743,3.152070836756593
1960-04-16,319.01,750,2.8063524662399004
1960-04-23,319.03,757,2.8106245525752342
1960-04-30,319.77,764,3.534887095762599
1960-05-07,319.96,771,3.7091400958019562
1960-05-14,319.82,778,3.553383552693333
1960-05-21,320.04,785,3.7576174664367272
1960-05-28,320.06,792,3.7618418370320796
1960-06-04,319.46,799,3.146056664479431
1960-06-11,320.08,806,3.750261948778814
1960-06-18,319.42,813,3.0744576899302842
1960-06-25,319.09,820,2.7286438879336288
1960-07-02,318.18,827,1.8028205427891066
1960-07-09,318.64,834,2.246987654496536
1960-07-16,318.41,841,2.001145223056028
1960-07-23,317.91,848,1.4852932484674852
1960-07-30,317.33,855,0.8894317307309052
1960-08-06,316.62,862,0.16356066984639028
1960-08-13,316.7,869,0.2276800658138427
1960-08-20,315.1,876,-1.3882100813666511
1960-08-27,314.78,883,-1.7241097716951685
1960-09-03,314.72,890,-1.8000190051715776
1960-09-10,314.58,897,-1.9559377817961376
1960-09-17,314.28,904,-2.2718661015686052
1960-09-24,313.33,911,-3.2378039644890464
1960-10-01,313.66,918,-2.9237513705574543
1960-10-08,313.32,925,-3.279708319773931
1960-10-15,313.92,932,-2.69567481213835
1960-10-22,314.21,939,-2.421650847650824
1960-10-29,314.29,946,-2.35763642631116
1960-11-05,314.5,953,-2.1636315481196107
1960-11-12,315.1,960,-1.5796362130759576
1960-11-19,315.1,967,-1.5956504211803235
1960-11-26,315.41,974,-1.3016741724327403
1960-12-03,315.84,981,-0.8877074668331488
1960-12-10,316.07,988,-0.6737503043814854
1960-12-17,316.21,995,-0.5498026850778501
1960-12-24,316.4,1002,-0.3758646089221429
1960-12-31,316.67,1009,-0.12193607591450473
1961-01-07,316.73,1016,-0.07801708605484237
1961-01-14,317.02,1023,0.1958923606568419
1961-01-21,317.03,1030,0.18979226422050033
1961-01-28,317.01,1037,0.1536826246362466
1961-02-04,317.06,1044,0.18756344190398977
1961-02-11,317.75,1051,0.861434716023723
1961-02-18,317.94,1058,1.03529644699546
1961-02-25,318.0,1065,1.0791486348192052
1961-03-04,318.04,1072,1.1029912794949723
1961-03-11,318.51,1079,1.55682438102275
1961-03-18,318.92,1086,1.9506479394025291
1961-03-25,318.71,1093,1.7244619546343074
1961-04-01,319.41,1100,2.4082664267181144
1961-04-08,319.55,1107,2.532061355653923
1961-04-15,318.9,1114,1.8658467414417146
1961-04-22,319.74,1121,2.689622584081576
1961-04-29,319.67,1128,2.603388883573416
1961-05-06,320.67,1135,3.587145639917253
1961-05-13,320.46,1142,3.3608928531130573
1961-05-20,320.61,1149,3.4946305231609927
1961-05-27,320.36,1156,3.2283586500608408
1961-06-03,320.09,1163,2.942077233812711
1961-06-10,320.02,1170,2.855786274416573
1961-06-17,319.62,1177,2.439485771872512
1961-06-24,319.49,1184,2.2931757261804364
1961-07-01,319.26,1191,2.0468561373403418
1961-07-08,319.07,1198,1.8405270053522713
1961-07-15,318.49,1205,1.2441883302162182
1961-07-22,317.16,1212,-0.10215988806783116
1961-07-29,317.97,1219,0.6914823505001664
1961-08-05,317.91,1226,0.6151150459201062
1961-08-12,317.33,1233,0.018738198192068012
1961-08-19,316.76,1240,-0.5676481926839188
1961-08-26,315.26,1247,-2.0840441267079655
1961-09-02,315.28,1254,-2.08044960387997
1961-09-09,314.97,1261,-2.4068646241998977
1961-09-16,314.53,1268,-2.863289187667931
1961-09-23,315.06,1275,-2.3497232942838764
1961-09-30,315.61,1282,-1.8161669440478363
1961-10-07,314.97,1289,-2.47262013695979
1961-10-14,315.43,1296,-2.0290828730197177
1961-10-21,315.48,1303,-1.9955551522276664
1961-10-28,315.72,1310,-1.772036974583557
1961-11-04,315.82,1317,-1.6885283400874869
1961-11-11,315.7,1324,-1.8250292487393835
1961-11-18,316.21,1331,-1.331539700539281
